pokedex_number,name,type,total,hp,attack,defense,spatk,spdef,speed,generation,legendary,bug_type,dark_type,dragon_type,electric_type,fairy_type,fighting_type,fire_type,flying_type,ghost_type,grass_type,ground_type,ice_type,normal_type,poison_type,psychic_type,rock_type,steel_type,water_type
182,Bellossom,Grass,490,75,80,95,90,100,50,2,FALSE,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
183,Marill,Water,250,70,20,50,20,50,40,2,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
184,Azumarill,Water,420,100,50,80,60,80,50,2,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
185,Sudowoodo,Rock,410,70,100,115,30,65,30,2,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
186,Politoed,Water,500,90,75,75,90,100,70,2,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
187,Hoppip,Grass,250,35,35,40,35,55,50,2,FALSE,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
188,Skiploom,Grass,340,55,45,50,45,65,80,2,FALSE,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
189,Jumpluff,Grass,460,75,55,70,55,95,110,2,FALSE,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
190,Aipom,Normal,360,55,70,55,40,55,85,2,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
191,Sunkern,Grass,180,30,30,30,30,30,30,2,FALSE,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
192,Sunflora,Grass,425,75,75,55,105,85,30,2,FALSE,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
193,Yanma,Bug,390,65,65,45,75,45,95,2,FALSE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,Wooper,Water,210,55,45,45,25,25,15,2,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
195,Quagsire,Water,430,95,85,85,65,65,35,2,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
196,Espeon,Psychic,525,65,65,60,130,95,110,2,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
197,Umbreon,Dark,525,95,65,110,60,130,65,2,FALSE,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198,Murkrow,Dark,405,60,85,42,85,42,91,2,FALSE,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,Slowking,Water,490,95,75,80,100,110,30,2,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
200,Misdreavus,Ghost,435,60,60,60,85,85,85,2,FALSE,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
201,Unown,Psychic,336,48,72,48,72,48,48,2,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
202,Wobbuffet,Psychic,405,190,33,58,33,58,33,2,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
203,Girafarig,Normal,455,70,80,65,90,65,85,2,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
204,Pineco,Bug,290,50,65,90,35,35,15,2,FALSE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205,Forretress,Bug,465,75,90,140,60,60,40,2,FALSE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206,Dunsparce,Normal,415,100,70,70,65,65,45,2,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
207,Gligar,Ground,430,65,75,105,35,65,85,2,FALSE,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
208,Steelix,Steel,510,75,85,200,55,65,30,2,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
208,SteelixMega Steelix,Steel,610,75,125,230,55,95,30,2,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
209,Snubbull,Fairy,300,60,80,50,40,40,30,2,FALSE,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
210,Granbull,Fairy,450,90,120,75,60,60,45,2,FALSE,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
211,Qwilfish,Water,430,65,95,75,55,55,85,2,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
212,Scizor,Bug,500,70,130,100,55,80,65,2,FALSE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212,ScizorMega Scizor,Bug,600,70,150,140,65,100,75,2,FALSE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213,Shuckle,Bug,505,20,10,230,10,230,5,2,FALSE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
214,Heracross,Bug,500,80,125,75,40,95,85,2,FALSE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
214,HeracrossMega Heracross,Bug,600,80,185,115,40,105,75,2,FALSE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215,Sneasel,Dark,430,55,95,55,35,75,115,2,FALSE,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
216,Teddiursa,Normal,330,60,80,50,50,50,40,2,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
217,Ursaring,Normal,500,90,130,75,75,75,55,2,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
218,Slugma,Fire,250,40,40,40,70,40,20,2,FALSE,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
219,Magcargo,Fire,410,50,50,120,80,80,30,2,FALSE,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
220,Swinub,Ice,250,50,50,40,30,30,50,2,FALSE,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
221,Piloswine,Ice,450,100,100,80,60,60,50,2,FALSE,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
222,Corsola,Water,380,55,55,85,65,85,35,2,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
223,Remoraid,Water,300,35,65,35,65,35,65,2,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
224,Octillery,Water,480,75,105,75,105,75,45,2,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
225,Delibird,Ice,330,45,55,45,65,45,75,2,FALSE,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
226,Mantine,Water,465,65,40,70,80,140,70,2,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
227,Skarmory,Steel,465,65,80,140,40,70,70,2,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
228,Houndour,Dark,330,45,60,30,80,50,65,2,FALSE,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
229,Houndoom,Dark,500,75,90,50,110,80,95,2,FALSE,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
229,HoundoomMega Houndoom,Dark,600,75,90,90,140,90,115,2,FALSE,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230,Kingdra,Water,540,75,95,95,95,95,85,2,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
231,Phanpy,Ground,330,90,60,60,40,40,40,2,FALSE,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
232,Donphan,Ground,500,90,120,120,60,60,50,2,FALSE,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
233,Porygon2,Normal,515,85,80,90,105,95,60,2,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
234,Stantler,Normal,465,73,95,62,85,65,85,2,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
235,Smeargle,Normal,250,55,20,35,20,45,75,2,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
236,Tyrogue,Fighting,210,35,35,35,35,35,35,2,FALSE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
237,Hitmontop,Fighting,455,50,95,95,35,110,70,2,FALSE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
238,Smoochum,Ice,305,45,30,15,85,65,65,2,FALSE,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
239,Elekid,Electric,360,45,63,37,65,55,95,2,FALSE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,Magby,Fire,365,45,75,37,70,55,83,2,FALSE,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
241,Miltank,Normal,490,95,80,105,40,70,100,2,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
242,Blissey,Normal,540,255,10,10,75,135,55,2,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
243,Raikou,Electric,580,90,85,75,115,100,115,2,TRUE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
244,Entei,Fire,580,115,115,85,90,75,100,2,TRUE,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
245,Suicune,Water,580,100,75,115,90,115,85,2,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
246,Larvitar,Rock,300,50,64,50,45,50,41,2,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
247,Pupitar,Rock,410,70,84,70,65,70,51,2,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
248,Tyranitar,Rock,600,100,134,110,95,100,61,2,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
248,TyranitarMega Tyranitar,Rock,700,100,164,150,95,120,71,2,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
249,Lugia,Psychic,680,106,90,130,90,154,110,2,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
250,Ho-oh,Fire,680,106,130,90,110,154,90,2,TRUE,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
251,Celebi,Psychic,600,100,100,100,100,100,100,2,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
252,Treecko,Grass,310,40,45,35,65,55,70,3,FALSE,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
253,Grovyle,Grass,405,50,65,45,85,65,95,3,FALSE,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
254,Sceptile,Grass,530,70,85,65,105,85,120,3,FALSE,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
254,SceptileMega Sceptile,Grass,630,70,110,75,145,85,145,3,FALSE,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
255,Torchic,Fire,310,45,60,40,70,50,45,3,FALSE,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
256,Combusken,Fire,405,60,85,60,85,60,55,3,FALSE,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
257,Blaziken,Fire,530,80,120,70,110,70,80,3,FALSE,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
257,BlazikenMega Blaziken,Fire,630,80,160,80,130,80,100,3,FALSE,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
258,Mudkip,Water,310,50,70,50,50,50,40,3,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
259,Marshtomp,Water,405,70,85,70,60,70,50,3,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
260,Swampert,Water,535,100,110,90,85,90,60,3,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
260,SwampertMega Swampert,Water,635,100,150,110,95,110,70,3,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
261,Poochyena,Dark,220,35,55,35,30,30,35,3,FALSE,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
262,Mightyena,Dark,420,70,90,70,60,60,70,3,FALSE,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
263,Zigzagoon,Normal,240,38,30,41,30,41,60,3,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
264,Linoone,Normal,420,78,70,61,50,61,100,3,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
265,Wurmple,Bug,195,45,45,35,20,30,20,3,FALSE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
266,Silcoon,Bug,205,50,35,55,25,25,15,3,FALSE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
267,Beautifly,Bug,395,60,70,50,100,50,65,3,FALSE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
268,Cascoon,Bug,205,50,35,55,25,25,15,3,FALSE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
269,Dustox,Bug,385,60,50,70,50,90,65,3,FALSE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270,Lotad,Water,220,40,30,30,40,50,30,3,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
271,Lombre,Water,340,60,50,50,60,70,50,3,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
272,Ludicolo,Water,480,80,70,70,90,100,70,3,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
273,Seedot,Grass,220,40,40,50,30,30,30,3,FALSE,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
274,Nuzleaf,Grass,340,70,70,40,60,40,60,3,FALSE,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
275,Shiftry,Grass,480,90,100,60,90,60,80,3,FALSE,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
276,Taillow,Normal,270,40,55,30,30,30,85,3,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
277,Swellow,Normal,430,60,85,60,50,50,125,3,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
278,Wingull,Water,270,40,30,30,55,30,85,3,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
279,Pelipper,Water,430,60,50,100,85,70,65,3,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
280,Ralts,Psychic,198,28,25,25,45,35,40,3,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
281,Kirlia,Psychic,278,38,35,35,65,55,50,3,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
282,Gardevoir,Psychic,518,68,65,65,125,115,80,3,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
282,GardevoirMega Gardevoir,Psychic,618,68,85,65,165,135,100,3,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
283,Surskit,Bug,269,40,30,32,50,52,65,3,FALSE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284,Masquerain,Bug,414,70,60,62,80,82,60,3,FALSE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
285,Shroomish,Grass,295,60,40,60,40,60,35,3,FALSE,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
286,Breloom,Grass,460,60,130,80,60,60,70,3,FALSE,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
287,Slakoth,Normal,280,60,60,60,35,35,30,3,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
288,Vigoroth,Normal,440,80,80,80,55,55,90,3,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
289,Slaking,Normal,670,150,160,100,95,65,100,3,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
290,Nincada,Bug,266,31,45,90,30,30,40,3,FALSE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
291,Ninjask,Bug,456,61,90,45,50,50,160,3,FALSE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
292,Shedinja,Bug,236,1,90,45,30,30,40,3,FALSE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
293,Whismur,Normal,240,64,51,23,51,23,28,3,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
294,Loudred,Normal,360,84,71,43,71,43,48,3,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
295,Exploud,Normal,490,104,91,63,91,73,68,3,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
296,Makuhita,Fighting,237,72,60,30,20,30,25,3,FALSE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
297,Hariyama,Fighting,474,144,120,60,40,60,50,3,FALSE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
298,Azurill,Normal,190,50,20,40,20,40,20,3,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
299,Nosepass,Rock,375,30,45,135,45,90,30,3,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
300,Skitty,Normal,260,50,45,45,35,35,50,3,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
301,Delcatty,Normal,380,70,65,65,55,55,70,3,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
302,Sableye,Dark,380,50,75,75,65,65,50,3,FALSE,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
302,SableyeMega Sableye,Dark,480,50,85,125,85,115,20,3,FALSE,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
303,Mawile,Steel,380,50,85,85,55,55,50,3,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
303,MawileMega Mawile,Steel,480,50,105,125,55,95,50,3,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
304,Aron,Steel,330,50,70,100,40,40,30,3,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
305,Lairon,Steel,430,60,90,140,50,50,40,3,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
306,Aggron,Steel,530,70,110,180,60,60,50,3,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
306,AggronMega Aggron,Steel,630,70,140,230,60,80,50,3,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
307,Meditite,Fighting,280,30,40,55,40,55,60,3,FALSE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
308,Medicham,Fighting,410,60,60,75,60,75,80,3,FALSE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
308,MedichamMega Medicham,Fighting,510,60,100,85,80,85,100,3,FALSE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
309,Electrike,Electric,295,40,45,40,65,40,65,3,FALSE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,Manectric,Electric,475,70,75,60,105,60,105,3,FALSE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,ManectricMega Manectric,Electric,575,70,75,80,135,80,135,3,FALSE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
311,Plusle,Electric,405,60,50,40,85,75,95,3,FALSE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312,Minun,Electric,405,60,40,50,75,85,95,3,FALSE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
313,Volbeat,Bug,400,65,73,55,47,75,85,3,FALSE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
314,Illumise,Bug,400,65,47,55,73,75,85,3,FALSE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
315,Roselia,Grass,400,50,60,45,100,80,65,3,FALSE,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
316,Gulpin,Poison,302,70,43,53,43,53,40,3,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
317,Swalot,Poison,467,100,73,83,73,83,55,3,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
318,Carvanha,Water,305,45,90,20,65,20,65,3,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
319,Sharpedo,Water,460,70,120,40,95,40,95,3,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
319,SharpedoMega Sharpedo,Water,560,70,140,70,110,65,105,3,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
320,Wailmer,Water,400,130,70,35,70,35,60,3,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
321,Wailord,Water,500,170,90,45,90,45,60,3,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
322,Numel,Fire,305,60,60,40,65,45,35,3,FALSE,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
323,Camerupt,Fire,460,70,100,70,105,75,40,3,FALSE,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
323,CameruptMega Camerupt,Fire,560,70,120,100,145,105,20,3,FALSE,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
324,Torkoal,Fire,470,70,85,140,85,70,20,3,FALSE,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
325,Spoink,Psychic,330,60,25,35,70,80,60,3,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
326,Grumpig,Psychic,470,80,45,65,90,110,80,3,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
327,Spinda,Normal,360,60,60,60,60,60,60,3,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
328,Trapinch,Ground,290,45,100,45,45,45,10,3,FALSE,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
329,Vibrava,Ground,340,50,70,50,50,50,70,3,FALSE,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
330,Flygon,Ground,520,80,100,80,80,80,100,3,FALSE,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
331,Cacnea,Grass,335,50,85,40,85,40,35,3,FALSE,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
332,Cacturne,Grass,475,70,115,60,115,60,55,3,FALSE,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
333,Swablu,Normal,310,45,40,60,40,75,50,3,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
334,Altaria,Dragon,490,75,70,90,70,105,80,3,FALSE,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
334,AltariaMega Altaria,Dragon,590,75,110,110,110,105,80,3,FALSE,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
335,Zangoose,Normal,458,73,115,60,60,60,90,3,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
336,Seviper,Poison,458,73,100,60,100,60,65,3,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
337,Lunatone,Rock,440,70,55,65,95,85,70,3,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
338,Solrock,Rock,440,70,95,85,55,65,70,3,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
339,Barboach,Water,288,50,48,43,46,41,60,3,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
340,Whiscash,Water,468,110,78,73,76,71,60,3,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
341,Corphish,Water,308,43,80,65,50,35,35,3,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
342,Crawdaunt,Water,468,63,120,85,90,55,55,3,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
343,Baltoy,Ground,300,40,40,55,40,70,55,3,FALSE,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
344,Claydol,Ground,500,60,70,105,70,120,75,3,FALSE,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
345,Lileep,Rock,355,66,41,77,61,87,23,3,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
346,Cradily,Rock,495,86,81,97,81,107,43,3,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
347,Anorith,Rock,355,45,95,50,40,50,75,3,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
348,Armaldo,Rock,495,75,125,100,70,80,45,3,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
349,Feebas,Water,200,20,15,20,10,55,80,3,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
350,Milotic,Water,540,95,60,79,100,125,81,3,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
351,Castform,Normal,420,70,70,70,70,70,70,3,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
352,Kecleon,Normal,440,60,90,70,60,120,40,3,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
353,Shuppet,Ghost,295,44,75,35,63,33,45,3,FALSE,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
354,Banette,Ghost,455,64,115,65,83,63,65,3,FALSE,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
354,BanetteMega Banette,Ghost,555,64,165,75,93,83,75,3,FALSE,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
355,Duskull,Ghost,295,20,40,90,30,90,25,3,FALSE,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
356,Dusclops,Ghost,455,40,70,130,60,130,25,3,FALSE,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
357,Tropius,Grass,460,99,68,83,72,87,51,3,FALSE,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
358,Chimecho,Psychic,425,65,50,70,95,80,65,3,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
359,Absol,Dark,465,65,130,60,75,60,75,3,FALSE,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
359,AbsolMega Absol,Dark,565,65,150,60,115,60,115,3,FALSE,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360,Wynaut,Psychic,260,95,23,48,23,48,23,3,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
361,Snorunt,Ice,300,50,50,50,50,50,50,3,FALSE,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
362,Glalie,Ice,480,80,80,80,80,80,80,3,FALSE,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
